Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/yaml/parser.py:273(parse_node)
     1262    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/dictconfig.py:144(_is_typed)
1218/1217    0.001    0.000    0.009    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/contextlib.py:139(__exit__)
        3    0.001    0.000    0.001    0.000 {method 'replace_schema_metadata' of 'pyarrow.lib.Table' objects}
     3463    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:128(_invalidate_flags_cache)
     1575    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:212(_resolve_optional)
      484    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
      320    0.001    0.000    0.010    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/yaml/scanner.py:156(fetch_more_tokens)
     1439    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:181(_get_node_flag)
    238/3    0.001    0.000    0.010    0.003 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/yaml/serializer.py:78(serialize_node)
    85/83    0.001    0.000    0.030    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/omegaconf.py:818(_create_impl)
